"filename", "language", "JSON with Comments", "JavaScript", "JSON", "JavaScript JSX", "HTML", "CSS", "Markdown", "XML", "comment", "blank", "total"
"d:\Projects\Job_Portal\frontend\src\components\shared\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 1, 9, 114
"d:\Projects\Job_Portal\frontend\src\components\ui\avatar.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"d:\Projects\Job_Portal\frontend\src\components\ui\badge.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"d:\Projects\Job_Portal\frontend\src\components\ui\button.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"d:\Projects\Job_Portal\frontend\src\components\ui\carousel.jsx", "JavaScript JSX", 0, 0, 0, 167, 0, 0, 0, 0, 0, 27, 194
"d:\Projects\Job_Portal\frontend\src\components\ui\dialog.jsx", "JavaScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 13, 95
"d:\Projects\Job_Portal\frontend\src\components\ui\input.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"d:\Projects\Job_Portal\frontend\src\components\ui\label.jsx", "JavaScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"d:\Projects\Job_Portal\frontend\src\components\ui\popover.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"d:\Projects\Job_Portal\frontend\src\components\ui\radio-group.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 5, 30
"d:\Projects\Job_Portal\frontend\src\components\ui\select.jsx", "JavaScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 0, 14, 121
"d:\Projects\Job_Portal\frontend\src\components\ui\sonner.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"d:\Projects\Job_Portal\frontend\src\components\ui\table.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 0, 0, 11, 84
"d:\Projects\Job_Portal\frontend\src\hooks\useGetAllAdminJobs.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"d:\Projects\Job_Portal\frontend\src\hooks\useGetAllCompanies.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"d:\Projects\Job_Portal\frontend\src\hooks\useGetAllJobs.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"d:\Projects\Job_Portal\frontend\src\hooks\useGetAppliedJobs.jsx", "JavaScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"d:\Projects\Job_Portal\frontend\src\hooks\useGetCompanyById.jsx", "JavaScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 26
"d:\Projects\Job_Portal\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 56, 0, 0, 0, 20, 76
"d:\Projects\Job_Portal\frontend\src\lib\utils.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\Job_Portal\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\Projects\Job_Portal\frontend\src\redux\applicationSlice.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Projects\Job_Portal\frontend\src\redux\authSlice.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 1, 1, 20
"d:\Projects\Job_Portal\frontend\src\redux\companySlice.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 1, 1, 24
"d:\Projects\Job_Portal\frontend\src\redux\jobSlice.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 1, 1, 43
"d:\Projects\Job_Portal\frontend\src\redux\store.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 5, 43
"d:\Projects\Job_Portal\frontend\src\utils\constant.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Projects\Job_Portal\frontend\tailwind.config.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 1, 0, 77
"d:\Projects\Job_Portal\frontend\vite.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"Total", "-", 10, 256, 7564, 3198, 13, 56, 13, 2, 29, 397, 11538
